56.1;51.8;4;2;4;4;4;2;7;50;0;0;3;2;4;1;1
82.5;71.6;4;3;3;4;3;3;30;51;0;0;1;2;4;1;1
179.2;117.6;3;5;2;4;4;2;8;11;0;0;3;2;2;4;0
166.7;150.6;3;4;4;3;5;2;41;21;0;0;3;3;1;2;1
56.8;70.8;4;4;2;3;4;3;50;20;0;0;2;2;1;2;0
138.6;87.2;5;3;2;3;4;3;16;20;0;0;3;3;2;2;1
114.6;129.1;3;5;2;3;4;3;22;20;0;0;3;3;2;1;1
198.7;128.9;3;5;2;3;4;3;1;22;0;0;2;3;1;3;1
151;161.4;2;5;3;4;4;2;25;27;0;0;3;3;4;1;0
183.1;97.7;3;5;2;3;5;2;5;20;0;0;3;3;1;2;1
99.9;91.3;3;5;2;4;4;2;11;11;0;0;3;3;2;2;1
87.6;148.6;3;5;2;3;4;3;0;1;0;0;3;3;1;2;0
115.6;77.6;4;4;2;3;5;2;15;3;0;1;3;3;1;3;1
155.2;152.4;4;3;3;3;5;2;7;2;0;0;3;2;4;4;0
142.5;101.7;3;4;3;5;3;2;28;21;0;0;2;3;3;3;1
92.4;176.3;3;4;3;4;2;4;35;18;0;1;2;3;2;2;0
140.9;103.7;3;4;3;2;5;3;2;7;0;0;2;3;2;1;1
120.3;180.4;3;5;2;4;3;3;19;15;0;0;3;3;2;2;0
234.5;196.1;3;5;2;3;4;3;24;18;0;0;3;3;2;3;0
185.3;124.5;3;5;2;3;5;2;21;19;0;0;3;3;2;3;1
116.4;132;4;3;3;2;5;3;6;21;0;0;3;3;2;1;0
110.5;92.9;4;3;3;4;4;2;69;36;0;0;2;2;1;4;1
140.9;144.9;3;3;4;2;6;2;37;97;0;0;2;3;2;3;0
101.5;233.3;3;4;3;3;2;5;21;1;0;0;3;3;2;3;0
93.9;92.2;3;5;2;4;4;2;27;3;0;0;3;3;2;4;1
86.9;58.5;4;5;1;5;3;2;89;20;0;0;3;2;3;2;1
99.7;81.3;4;3;3;3;4;3;77;50;0;0;1;2;4;1;0
108.9;131.4;4;4;2;3;5;2;19;20;0;0;3;3;2;2;1
62.7;108.1;4;3;3;4;4;2;1;1;0;0;3;2;1;1;0
79.8;74.7;3;3;4;3;5;2;7;5;0;1;3;2;4;4;1
101;66.2;4;2;4;2;5;3;50;12;0;0;2;2;1;1;1
156.9;148;3;4;3;3;4;3;4;10;0;0;3;2;2;1;0
172.8;145.6;3;4;3;3;5;2;24;11;0;0;3;3;4;2;1
61.9;76.9;5;3;2;4;3;3;50;31;0;0;2;3;1;1;1
248.8;288.9;3;4;3;3;4;3;23;85;0;0;3;3;4;2;1
80.3;90.4;1;7;2;4;4;2;1;2;0;0;3;3;4;3;0
176.5;165.7;3;5;2;3;4;3;37;1;0;0;3;2;1;1;1
100.5;145.1;3;4;3;3;4;3;16;18;0;0;3;3;4;2;0
80.9;88.3;4;4;2;4;4;2;30;0;0;0;2;2;1;1;0
134.3;140.9;2;5;3;3;5;2;25;16;0;0;3;3;3;3;1
212.5;129.2;3;4;3;3;4;3;5;10;0;0;3;3;1;3;0
101.8;96.3;3;4;3;3;4;3;1;10;0;0;3;3;1;3;1
188;151.9;3;4;3;3;5;2;11;12;0;0;3;2;1;2;0
55.7;64.7;4;5;1;3;4;3;50;0;0;0;2;2;1;2;0
162;169.3;3;5;2;3;4;3;3;21;0;0;3;3;1;2;1
74.7;79.2;4;2;4;4;3;3;30;34;0;0;3;3;1;2;0
94.5;63.1;5;3;2;4;3;3;50;9;0;0;2;3;1;2;1
89.9;108.4;3;3;4;4;4;2;25;15;0;0;1;3;3;2;0
144.2;159.9;3;5;2;4;3;3;0;1;1;0;3;3;1;3;0
82;83.4;3;4;3;4;4;2;13;8;0;0;3;3;2;2;1
203.2;169.5;2;5;3;3;4;3;2;42;0;0;3;2;2;2;0
141.8;155.6;4;4;2;3;4;3;1;22;0;0;1;3;2;4;0
124.8;117.8;3;4;3;3;4;3;11;14;0;0;3;3;4;1;0
127.9;137.3;4;4;2;4;5;1;20;11;0;0;3;3;2;2;0
72.8;96.3;4;3;3;4;4;2;0;60;0;0;2;2;1;4;0
